Initial_Population,Final_Population
30368.94,10673.32
30993.90,10676.52
28979.63,19216.76
30235.50,19626.74
29794.63,19681.14
29751.84,19745.54
29866.17,19828.56
30960.41,19847.89
31499.68,19950.22
30729.46,19975.92
31797.07,19985.68
27237.02,20015.11
30560.75,20033.30
29179.45,20036.25
29063.31,20043.05
31192.92,20103.06
28778.98,20111.73
29980.80,20175.79
28893.43,20223.88
28764.06,20353.59
31037.24,20424.01
32188.70,20429.67
32546.51,20480.80
28994.16,20527.51
33544.41,20551.22
28994.05,20560.99
31732.45,20569.99
29147.96,20584.59
27554.80,20604.77
30153.73,20607.10
28249.00,20609.36
31239.76,20625.85
31413.29,20662.06
28884.09,20701.60
29582.87,20848.66
27304.39,20869.75
30651.24,20870.73
29932.04,20954.66
28466.52,21041.32
32832.03,21061.48
29737.55,21216.85
30612.36,21285.54
29320.96,21430.00
29847.82,21490.68
31427.90,21495.54
29884.58,21568.89
30203.84,21581.33
27713.19,21700.49
30146.64,21706.93
28260.53,21742.98
30204.48,21769.38
28833.04,21780.94
31012.38,21948.94
30390.97,22141.82
27947.86,22148.89
29004.67,22229.23
31847.94,22234.09
30874.70,22236.83
29548.88,22295.71
30696.86,22302.79
33642.07,22369.11
29057.61,22432.23
29781.86,22527.09
28569.56,22531.13
30232.84,22554.57
29791.92,22607.93
30716.17,22642.50
26695.81,22656.81
31124.21,22675.35
30433.47,22697.58
30162.19,22743.20
33802.66,22782.22
29931.88,22792.24
30134.49,22810.58
29348.89,22812.15
28950.02,22866.41
27527.01,22879.01
29730.45,22883.66
26859.38,22920.00
30636.51,22929.20
30652.53,22955.71
29995.91,22994.13
30837.44,22994.40
30396.96,23042.99
30472.15,23058.93
28425.86,23160.25
30293.51,23199.72
28514.86,23240.73
30397.17,23291.98
29640.74,23427.84
29819.29,23458.42
27919.68,23501.97
30757.19,23623.39
30358.60,23876.69
27193.77,23895.96
30064.53,23916.92
30817.53,24016.21
32252.18,24266.93
29684.47,25564.79
29378.23,26038.15
