Initial_Population,Final_Population
264912.88,87463.64
263887.77,87506.02
262067.99,237661.59
250494.99,239553.80
264044.80,240242.96
250477.09,241966.52
263402.69,242392.68
274005.31,242470.47
264093.73,242546.82
257020.85,242589.36
259290.99,242691.65
251720.77,242815.13
245843.52,242815.13
271899.45,242909.17
256974.51,243139.29
271355.72,243173.10
253172.82,243268.79
236830.48,243301.42
260173.22,243424.26
256236.61,243428.58
257262.46,243494.14
242513.31,243754.56
235847.34,243825.36
257886.80,243954.79
251449.82,243991.73
253754.60,244048.42
256692.97,244053.98
256411.51,244067.81
268677.41,244155.63
256382.26,244157.77
261073.19,244205.69
245300.45,244220.95
270037.80,244290.46
260894.07,244340.39
267846.11,244511.22
270887.00,244658.21
255073.59,244714.69
265056.77,244739.89
269174.73,244812.40
250872.94,244841.77
280453.81,244903.83
252529.26,244907.46
256210.75,245023.90
266008.79,245033.51
260161.72,245092.46
239898.98,245099.29
258143.77,245132.69
259295.49,245240.59
266658.87,245321.94
260127.33,245375.72
274119.27,245442.88
270509.42,245508.74
263144.96,245517.77
251246.61,245529.62
265009.50,245591.36
250318.12,245660.78
265969.09,245665.46
254359.58,245675.72
254667.57,245708.68
257360.87,245748.95
261973.96,245764.06
264203.00,245765.64
247777.42,245819.62
264440.95,245876.69
275379.69,245903.35
248206.56,245977.53
234514.56,246036.30
248799.23,246088.27
251518.83,246132.67
256619.55,246147.63
271223.89,246271.95
240606.55,246296.63
276190.68,246314.42
273029.92,246346.74
252317.03,246392.66
252102.51,246435.57
261751.38,246472.45
240178.34,246480.34
262491.65,246563.74
253628.68,246931.65
251984.89,246937.16
266430.69,246959.85
248577.61,247014.86
265630.74,247138.93
260442.02,247193.46
255104.94,247319.81
261669.80,247430.28
248287.16,247830.97
249735.48,247947.26
254506.44,247958.17
263294.93,247994.92
258169.93,248324.34
256873.84,248460.97
259751.36,248912.55
270719.74,248946.61
257020.30,249198.49
253591.81,249538.19
266100.91,250044.27
248656.14,250218.45
242900.68,250653.25
