Initial_Population,Final_Population
153292.07,51643.24
183079.64,51710.89
148488.94,119120.93
172038.99,122916.34
173823.59,123355.89
174580.93,123945.70
156606.38,124159.57
177748.39,124254.54
189400.74,124801.32
162526.85,124842.40
171340.75,124912.33
164958.23,124963.78
169102.23,125333.14
167971.90,125499.89
172017.80,125577.72
171784.81,125616.66
158596.88,125849.14
159355.69,125880.48
174921.12,125889.35
169034.11,125899.17
177937.91,125932.56
159712.31,125970.01
158578.55,126093.14
158305.25,126155.44
181213.24,126241.18
175976.61,126250.79
170524.33,126252.18
170534.05,126353.68
178725.43,126368.45
171467.56,126424.27
162530.19,126583.35
163045.16,126615.87
175627.59,126681.27
171215.07,126681.85
181815.14,127271.75
165900.05,127327.96
165277.88,127487.73
166461.30,127665.26
177166.42,127873.39
186922.64,127980.05
165029.93,128127.38
174492.36,128305.87
170763.02,128487.97
173969.70,128515.31
165065.42,128541.99
174036.24,128557.68
153085.86,128708.37
163570.72,128777.85
168932.85,128780.89
182837.82,128823.00
155098.46,128926.43
167447.63,128990.43
166566.45,129044.88
176729.19,129070.98
158884.78,129185.13
162770.26,129250.67
168227.97,129305.52
172530.44,129476.04
161858.52,129514.21
169372.28,129533.42
160428.24,129574.61
164191.15,129606.02
166170.70,129640.55
152756.28,130001.25
168256.68,130111.94
168051.32,130349.63
166900.31,130624.34
172857.44,130725.38
169341.74,130733.86
167610.98,130734.71
168991.89,130783.79
179291.96,130792.66
174830.29,130849.42
168714.62,130861.46
180189.51,131227.90
181600.68,131458.57
161985.11,131522.67
181293.46,131595.73
170442.57,131615.41
168066.87,131852.55
162694.74,132039.30
165622.30,132364.93
171565.79,132397.76
166829.76,132685.74
176852.84,132844.83
160950.55,132945.35
179512.18,133074.63
179039.82,133099.04
158684.82,133165.91
178128.55,133177.00
175836.68,133283.99
160181.95,133426.00
168857.44,134055.16
156751.17,134746.04
151121.91,134827.14
171285.48,134874.47
163939.27,135469.88
172351.30,135569.10
161721.97,136927.28
165150.17,137200.83
