Initial_Population,Final_Population
164192.26,44936.30
157379.35,44936.30
168931.65,87162.85
154761.74,87901.13
170313.41,87913.27
161713.63,88064.56
164601.56,88129.84
158305.64,88201.37
164475.61,88362.84
141345.03,88744.44
158228.07,88757.37
148128.95,88833.83
162397.46,88952.00
175993.44,88966.03
168286.45,89209.37
170056.15,89441.62
151225.94,89545.42
159843.08,89602.79
172114.98,89736.85
154946.89,89837.76
178878.61,89955.17
158306.19,90089.05
155111.58,90243.49
152985.09,90260.24
169492.34,90310.57
171269.51,90326.67
165786.25,90335.80
171635.33,90445.33
174057.21,90513.57
157748.35,90534.66
167532.83,90688.71
159062.76,90806.86
168336.72,90858.71
155183.80,90945.09
152495.70,90967.21
177899.96,91127.00
153605.81,91441.25
159096.39,91584.87
159739.60,91610.55
160608.76,91626.37
152518.10,91822.99
161633.50,91893.79
161850.09,91963.81
164975.93,91996.91
164878.98,92018.01
173706.48,92042.07
184801.57,92297.18
166058.59,92309.32
176514.45,92315.25
170721.41,92315.53
173254.12,92315.53
178992.99,92347.35
159549.89,92397.94
168056.60,92449.60
174933.96,92459.45
157391.13,92472.16
160353.92,92788.97
171314.31,92853.38
157109.80,92860.45
168743.33,92916.09
157405.40,93078.12
172204.10,93173.49
168613.61,93280.48
165499.23,93330.28
168419.20,93378.12
160213.46,93424.62
160035.13,93606.41
162767.08,93685.19
164880.20,93747.67
169694.79,93747.67
163349.21,93794.60
169818.51,93803.11
168178.43,93898.10
165696.77,93899.92
155678.93,93947.11
156506.75,94122.00
166248.41,94154.44
169943.00,94337.14
170819.83,94677.16
164558.19,94825.66
164848.55,94910.08
169440.16,95054.43
148334.53,95057.35
174109.14,95086.89
158996.77,95160.54
151393.81,95205.54
158573.96,95473.29
154179.74,95922.13
144489.73,95938.09
161083.12,96226.47
152416.34,96604.46
155644.84,96628.17
157217.63,96633.43
167353.93,96802.87
164743.17,97185.73
150123.09,98290.23
159070.98,98486.47
163190.64,99199.83
164503.97,99938.95
156226.73,99959.80
