Initial_Population,Final_Population
135910.41,38943.02
127768.17,39076.27
134254.39,74125.99
120377.67,75600.24
127021.14,75668.06
118013.67,75931.43
123811.06,76012.06
117483.24,76012.31
124786.33,76190.59
119194.48,76199.11
123566.00,76219.06
125524.60,76221.81
127226.25,76299.29
127930.27,76306.62
122453.50,76393.26
120346.48,76676.11
123036.22,76751.69
141997.54,76759.56
117715.22,76831.03
126235.97,76872.74
126638.50,76897.81
126880.20,76974.55
130086.85,76993.76
117829.81,77013.99
118314.77,77040.75
123349.61,77168.07
118037.15,77196.28
114009.05,77333.75
133750.67,77420.27
130013.64,77494.87
119782.53,77539.55
121865.01,77560.30
117492.95,77583.31
121745.90,77595.96
118423.38,77780.15
132473.54,77789.71
131650.70,77803.31
125566.03,77938.59
121513.99,77948.43
126656.29,77995.39
121584.71,78064.05
122993.92,78158.07
128906.29,78195.96
123205.78,78286.37
121348.79,78288.80
128925.48,78323.72
133359.16,78340.70
122640.97,78463.46
132751.73,78473.58
126343.42,78490.48
125634.80,78550.96
127091.03,78578.24
120507.16,78701.11
125269.47,78739.52
129021.25,78752.30
128185.65,78852.11
127191.42,78933.85
122691.33,79003.06
117655.49,79089.39
125313.32,79114.82
126982.78,79117.42
120860.66,79182.18
124508.95,79234.07
130944.12,79274.88
122658.86,79324.04
126366.98,79422.56
119708.09,79500.04
133777.01,79575.28
122786.02,79612.22
115439.49,79639.54
120392.91,79791.76
132523.48,79866.35
124171.94,79968.73
124056.96,80152.24
122340.85,80243.59
129702.02,80396.05
119777.99,80402.71
125264.48,80484.18
122872.72,80524.58
119945.05,80587.73
142463.21,80589.94
124597.22,80781.89
112801.56,80820.77
129544.05,80888.10
124238.63,80920.12
132516.57,80983.28
114467.06,81000.79
118181.90,81071.32
118909.56,81364.90
120661.23,81465.65
121661.71,81533.20
121918.39,81694.63
122639.35,81916.09
125525.39,82652.75
125140.00,82838.12
129638.33,82989.40
125395.10,83186.59
125669.32,83713.83
117575.40,83765.95
123349.48,84474.14
