Initial_Population,Final_Population
862109.06,260052.60
834564.00,260104.56
850557.03,667840.86
891516.87,674343.34
808787.72,674964.85
865472.83,675453.27
880432.57,679265.33
859351.77,679581.60
810464.34,679618.75
822461.81,680317.88
777851.25,682077.24
855826.42,683797.45
842068.67,684003.59
841773.58,684901.11
873860.68,685474.04
798362.06,685535.36
790556.25,685583.33
816907.82,685662.22
807233.36,686101.23
797586.89,687170.18
803857.88,687433.89
857961.59,687669.48
858115.09,688193.45
864237.78,688980.48
836954.10,689804.67
832821.70,689872.59
842822.90,690187.05
814002.60,690621.58
859042.43,691142.50
762653.15,691302.14
839823.43,691370.26
874103.78,691402.62
855503.25,691461.94
821526.06,691558.38
847262.43,691580.64
895175.28,691772.84
859702.36,692469.83
797542.70,693155.73
815742.61,694949.93
797109.35,695727.70
755362.76,695900.18
818352.86,695915.21
831245.54,696231.80
857528.76,696356.63
873451.07,696939.08
717065.26,696939.82
824516.04,697155.75
874904.05,697821.29
817428.19,699075.81
849742.80,699152.57
818898.57,699878.60
841108.36,699913.74
827373.24,700008.98
837419.19,700027.95
847899.94,701483.58
744841.73,701692.23
884833.60,701988.27
839675.69,702841.16
885776.10,702949.84
821111.47,703319.89
817393.74,703543.28
840467.34,703618.24
837238.07,703666.38
866469.52,704288.96
782711.46,705060.39
868236.30,705095.92
799153.32,705391.85
814700.48,705465.99
773304.08,705821.32
850238.50,706125.27
753282.32,706146.20
759396.65,706366.30
774420.87,707165.93
828935.69,707360.99
807069.34,707443.55
826722.42,709007.85
796339.60,709122.59
868429.72,709702.51
840044.88,710169.73
874319.93,711103.15
830702.32,711400.00
846651.89,713068.79
839865.03,713333.96
794956.56,714583.06
829349.20,714880.15
826690.29,715064.83
830527.89,717689.53
841266.95,718197.51
894431.14,718354.45
828913.56,718500.82
881404.17,719069.80
808230.50,719232.05
835777.89,719378.83
874207.38,719904.53
846429.64,721606.58
774207.65,721914.73
828198.42,722178.66
797301.45,722326.14
873915.59,723679.92
786834.21,724851.06
