Initial_Population,Final_Population
21843.91,8801.89
22602.27,8825.83
24699.97,9045.61
23416.55,9059.33
22595.86,9090.09
22274.00,9118.19
24083.27,9178.04
23220.59,9287.17
23714.76,9288.55
23202.28,9314.54
23574.03,9326.23
22668.15,9340.30
24401.44,9364.12
21245.87,9373.15
22686.06,9413.79
24087.97,9430.38
23431.47,9437.91
20357.40,9501.95
23510.18,9606.63
22718.75,9630.87
21666.86,9672.96
23480.30,9742.28
23087.68,9750.63
22237.41,9764.47
22563.27,9812.15
22759.38,9820.42
22210.30,10008.27
23593.38,10039.76
21678.20,10075.61
24041.72,10249.86
21775.71,10253.58
21435.86,10307.16
23396.92,10552.58
22730.69,10602.35
21163.50,10741.67
21711.68,10745.82
22510.96,10780.73
23716.81,10781.38
23360.63,10789.92
22320.33,10811.38
21248.32,10878.56
22059.55,10950.21
22149.21,11010.97
23286.45,11122.18
22826.48,11165.87
22731.62,11242.95
23657.52,11325.02
23776.32,11327.45
23991.04,11430.95
21400.59,11458.56
23421.80,11518.51
22811.32,11521.98
23079.54,11537.73
22373.08,11605.46
22468.30,11640.26
22174.16,11644.96
21605.62,11651.59
23989.09,11688.20
22741.21,11690.85
22476.56,11762.86
24029.98,11781.00
23285.80,11795.13
23890.00,11873.58
22787.63,12036.26
22319.12,12055.07
22646.51,12081.97
22795.35,12139.38
23073.42,12167.73
22902.06,12194.84
21685.81,12195.93
23763.62,12244.05
22566.37,12358.86
22972.15,12560.84
22949.80,12608.44
21570.27,12768.45
21972.06,12842.24
22710.29,12860.71
21753.15,12898.40
21933.06,13016.51
22286.41,13031.56
23587.28,13034.16
22250.88,13078.56
23147.36,13124.94
23244.95,13135.61
23495.08,13144.99
22090.81,13178.49
22207.85,13188.20
23241.00,13221.81
23606.01,13232.54
22526.16,13255.93
22634.43,13270.77
22876.73,13287.51
22484.74,13296.93
23317.55,13335.97
21070.08,13479.59
22435.72,13489.59
23095.51,13537.37
22402.62,13600.03
21567.36,13633.76
22921.04,13768.09
